[2025-08-08 01:02:22,805][openai._base_client][INFO] - Retrying request to /chat/completions in 0.394642 seconds
[2025-08-08 01:02:23,081][openai._base_client][INFO] - Retrying request to /chat/completions in 0.480421 seconds
[2025-08-08 01:02:23,381][openai._base_client][INFO] - Retrying request to /chat/completions in 0.459383 seconds
[2025-08-08 01:02:23,666][openai._base_client][INFO] - Retrying request to /chat/completions in 0.473580 seconds
[2025-08-08 01:02:23,942][openai._base_client][INFO] - Retrying request to /chat/completions in 0.447439 seconds
[2025-08-08 01:02:24,216][openai._base_client][INFO] - Retrying request to /chat/completions in 0.393377 seconds
[2025-08-08 01:02:24,491][openai._base_client][INFO] - Retrying request to /chat/completions in 0.426056 seconds
[2025-08-08 01:02:24,767][openai._base_client][INFO] - Retrying request to /chat/completions in 0.401096 seconds
[2025-08-08 01:02:25,044][openai._base_client][INFO] - Retrying request to /chat/completions in 0.399698 seconds
[2025-08-08 01:02:25,321][openai._base_client][INFO] - Retrying request to /chat/completions in 0.424996 seconds
[2025-08-08 01:02:25,597][openai._base_client][INFO] - Retrying request to /chat/completions in 0.488243 seconds
[2025-08-08 01:02:25,872][openai._base_client][INFO] - Retrying request to /chat/completions in 0.458766 seconds
[2025-08-08 01:02:26,149][openai._base_client][INFO] - Retrying request to /chat/completions in 0.461179 seconds
[2025-08-08 01:02:26,423][openai._base_client][INFO] - Retrying request to /chat/completions in 0.413812 seconds
[2025-08-08 01:02:26,697][openai._base_client][INFO] - Retrying request to /chat/completions in 0.456786 seconds
[2025-08-08 01:02:26,973][openai._base_client][INFO] - Retrying request to /chat/completions in 0.376289 seconds
[2025-08-08 01:02:27,247][openai._base_client][INFO] - Retrying request to /chat/completions in 0.476665 seconds
[2025-08-08 01:02:27,522][openai._base_client][INFO] - Retrying request to /chat/completions in 0.432872 seconds
[2025-08-08 01:02:27,797][openai._base_client][INFO] - Retrying request to /chat/completions in 0.419689 seconds
[2025-08-08 01:02:28,071][openai._base_client][INFO] - Retrying request to /chat/completions in 0.436163 seconds
[2025-08-08 01:02:28,346][openai._base_client][INFO] - Retrying request to /chat/completions in 0.453230 seconds
[2025-08-08 01:02:28,620][openai._base_client][INFO] - Retrying request to /chat/completions in 0.488932 seconds
[2025-08-08 01:02:28,896][openai._base_client][INFO] - Retrying request to /chat/completions in 0.482604 seconds
[2025-08-08 01:02:29,173][openai._base_client][INFO] - Retrying request to /chat/completions in 0.377289 seconds
[2025-08-08 01:02:29,449][openai._base_client][INFO] - Retrying request to /chat/completions in 0.397659 seconds
[2025-08-08 01:02:29,725][openai._base_client][INFO] - Retrying request to /chat/completions in 0.387084 seconds
[2025-08-08 01:02:30,001][openai._base_client][INFO] - Retrying request to /chat/completions in 0.401553 seconds
[2025-08-08 01:02:30,277][openai._base_client][INFO] - Retrying request to /chat/completions in 0.460037 seconds
[2025-08-08 01:02:30,554][openai._base_client][INFO] - Retrying request to /chat/completions in 0.484545 seconds
[2025-08-08 01:02:30,830][openai._base_client][INFO] - Retrying request to /chat/completions in 0.497560 seconds
[2025-08-08 01:02:31,106][openai._base_client][INFO] - Retrying request to /chat/completions in 0.472720 seconds
[2025-08-08 01:02:31,382][openai._base_client][INFO] - Retrying request to /chat/completions in 0.486840 seconds
[2025-08-08 01:02:31,658][openai._base_client][INFO] - Retrying request to /chat/completions in 0.482039 seconds
[2025-08-08 01:02:31,934][openai._base_client][INFO] - Retrying request to /chat/completions in 0.392239 seconds
[2025-08-08 01:02:32,209][openai._base_client][INFO] - Retrying request to /chat/completions in 0.392482 seconds
[2025-08-08 01:02:32,484][openai._base_client][INFO] - Retrying request to /chat/completions in 0.471263 seconds
[2025-08-08 01:02:32,758][openai._base_client][INFO] - Retrying request to /chat/completions in 0.436630 seconds
[2025-08-08 01:02:33,032][openai._base_client][INFO] - Retrying request to /chat/completions in 0.483994 seconds
[2025-08-08 01:02:33,306][openai._base_client][INFO] - Retrying request to /chat/completions in 0.424656 seconds
[2025-08-08 01:02:33,581][openai._base_client][INFO] - Retrying request to /chat/completions in 0.485585 seconds
[2025-08-08 01:02:33,855][openai._base_client][INFO] - Retrying request to /chat/completions in 0.457712 seconds
[2025-08-08 01:02:34,130][openai._base_client][INFO] - Retrying request to /chat/completions in 0.418270 seconds
[2025-08-08 01:02:34,405][openai._base_client][INFO] - Retrying request to /chat/completions in 0.496392 seconds
[2025-08-08 01:02:34,678][openai._base_client][INFO] - Retrying request to /chat/completions in 0.413532 seconds
[2025-08-08 01:02:34,954][openai._base_client][INFO] - Retrying request to /chat/completions in 0.469590 seconds
[2025-08-08 01:02:35,229][openai._base_client][INFO] - Retrying request to /chat/completions in 0.423885 seconds
[2025-08-08 01:02:35,502][openai._base_client][INFO] - Retrying request to /chat/completions in 0.397082 seconds
[2025-08-08 01:02:35,782][openai._base_client][INFO] - Retrying request to /chat/completions in 0.444186 seconds
[2025-08-08 01:02:36,057][openai._base_client][INFO] - Retrying request to /chat/completions in 0.473412 seconds
[2025-08-08 01:02:36,332][openai._base_client][INFO] - Retrying request to /chat/completions in 0.471588 seconds
[2025-08-08 01:02:36,606][openai._base_client][INFO] - Retrying request to /chat/completions in 0.449051 seconds
[2025-08-08 01:02:36,881][openai._base_client][INFO] - Retrying request to /chat/completions in 0.406131 seconds
[2025-08-08 01:02:37,155][openai._base_client][INFO] - Retrying request to /chat/completions in 0.387880 seconds
[2025-08-08 01:02:37,430][openai._base_client][INFO] - Retrying request to /chat/completions in 0.418479 seconds
[2025-08-08 01:02:37,704][openai._base_client][INFO] - Retrying request to /chat/completions in 0.499170 seconds
[2025-08-08 01:02:37,979][openai._base_client][INFO] - Retrying request to /chat/completions in 0.453009 seconds
[2025-08-08 01:02:38,253][openai._base_client][INFO] - Retrying request to /chat/completions in 0.382392 seconds
[2025-08-08 01:02:38,527][openai._base_client][INFO] - Retrying request to /chat/completions in 0.470560 seconds
[2025-08-08 01:02:38,802][openai._base_client][INFO] - Retrying request to /chat/completions in 0.443131 seconds
[2025-08-08 01:02:39,077][openai._base_client][INFO] - Retrying request to /chat/completions in 0.385298 seconds
[2025-08-08 01:02:39,352][openai._base_client][INFO] - Retrying request to /chat/completions in 0.467415 seconds
[2025-08-08 01:02:39,626][openai._base_client][INFO] - Retrying request to /chat/completions in 0.439161 seconds
[2025-08-08 01:02:39,902][openai._base_client][INFO] - Retrying request to /chat/completions in 0.417456 seconds
[2025-08-08 01:02:40,177][openai._base_client][INFO] - Retrying request to /chat/completions in 0.455210 seconds
[2025-08-08 01:02:40,452][openai._base_client][INFO] - Retrying request to /chat/completions in 0.438230 seconds
[2025-08-08 01:02:40,726][openai._base_client][INFO] - Retrying request to /chat/completions in 0.416397 seconds
[2025-08-08 01:02:41,001][openai._base_client][INFO] - Retrying request to /chat/completions in 0.404643 seconds
[2025-08-08 01:02:41,275][openai._base_client][INFO] - Retrying request to /chat/completions in 0.416434 seconds
[2025-08-08 01:02:41,549][openai._base_client][INFO] - Retrying request to /chat/completions in 0.440268 seconds
[2025-08-08 01:02:41,823][openai._base_client][INFO] - Retrying request to /chat/completions in 0.409586 seconds
[2025-08-08 01:02:42,099][openai._base_client][INFO] - Retrying request to /chat/completions in 0.450662 seconds
[2025-08-08 01:02:42,373][openai._base_client][INFO] - Retrying request to /chat/completions in 0.413071 seconds
[2025-08-08 01:02:42,648][openai._base_client][INFO] - Retrying request to /chat/completions in 0.485141 seconds
[2025-08-08 01:02:42,921][openai._base_client][INFO] - Retrying request to /chat/completions in 0.457165 seconds
